uniprot,gene_symbol,status,pdb_path,pae_path,sha256_pdb,retrieved_at,notes
Q9Y2T1,AXIN2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y2T1/Q9Y2T1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y2T1/Q9Y2T1_pae.json,1237de83e3ec99a4118226c10658d8e81226ecd0a4c70a9e3e6208c444aabfb8,2026-02-10 03:52:05,
Q92806,KCNK2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q92806/Q92806.pdb,research/alphafold_countercurvature/data/raw/afdb/Q92806/Q92806_pae.json,871301e4cd0caa38516e989b9d3157b1fc980ffb56f386f34068b2dffef56976,2026-02-10 03:52:11,
O94886,TMEM63A,downloaded,research/alphafold_countercurvature/data/raw/afdb/O94886/O94886.pdb,research/alphafold_countercurvature/data/raw/afdb/O94886/O94886_pae.json,ab87f782a479d92ce9a6672b70dec5c57d42314f0c231a6bd93032c6fa743954,2026-02-10 03:52:18,
Q9BPX3,FUZ,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9BPX3/Q9BPX3.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9BPX3/Q9BPX3_pae.json,dddbb0537694b8f0215bd8358e3a35387b417595599356a121034380ce724948,2026-02-11 23:51:39,
Q9Y210,TRPC6,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y210/Q9Y210.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y210/Q9Y210_pae.json,ce1d7192f23bf578a1267e4cdcde1dc8b8df3f3dd22ee2de14ad174586653f16,2026-02-11 23:51:40,
Q00872,MYBPC1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q00872/Q00872.pdb,research/alphafold_countercurvature/data/raw/afdb/Q00872/Q00872_pae.json,127367ff84b0d116dd84e7c5a8a6afb6d1674ea9c0e9a8eceb1ea62e6775d346,2026-02-11 23:51:41,
P54821,PRRX1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P54821/P54821.pdb,research/alphafold_countercurvature/data/raw/afdb/P54821/P54821_pae.json,88d5f0a8f6c8b7598ae9ec96b2b646e5997f70b3a700ec0d6b251b8cb2ed3ccb,2026-02-11 23:51:42,
Q14055,COL9A2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q14055/Q14055.pdb,research/alphafold_countercurvature/data/raw/afdb/Q14055/Q14055_pae.json,e83f3d821b64122721d084e197ac10abcd2dd47750db757b51855bc894690411,2026-02-11 23:51:43,
O60663,LMX1B,downloaded,research/alphafold_countercurvature/data/raw/afdb/O60663/O60663.pdb,research/alphafold_countercurvature/data/raw/afdb/O60663/O60663_pae.json,06f962e2fdbd787fc39f8d329782d26b38e1fe1cd9ce82e274204d6e7122a3b8,2026-02-11 23:51:45,
Q03001,DST,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q03001/Q03001.pdb,research/alphafold_countercurvature/data/raw/afdb/Q03001/Q03001_pae.json,3b42f479629fa0ee6bb56369f9b5233f92a51c465317d291ab8deb8e6796bc20,2026-02-11 23:51:48,
